Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-10-12,St. Louis Blues,5,Chicago Blackhawks,2,,21729,2:29,
2016-10-12,Calgary Flames,4,Edmonton Oilers,7,,18347,2:35,
2016-10-12,Toronto Maple Leafs,4,Ottawa Senators,5,OT,17618,2:36,
2016-10-12,Los Angeles Kings,1,San Jose Sharks,2,,17562,2:29,
2016-10-13,Montreal Canadiens,4,Buffalo Sabres,1,,19070,2:44,
2016-10-13,Boston Bruins,6,Columbus Blue Jackets,3,,18144,2:29,
2016-10-13,Anaheim Ducks,2,Dallas Stars,4,,18532,2:30,
2016-10-13,New Jersey Devils,1,Florida Panthers,2,OT,17128,2:36,
2016-10-13,New York Islanders,3,New York Rangers,5,,18200,2:29,
2016-10-13,Washington Capitals,2,Pittsburgh Penguins,3,SO,18630,2:50,
2016-10-13,Minnesota Wild,2,St. Louis Blues,3,,19673,2:29,
2016-10-13,Detroit Red Wings,4,Tampa Bay Lightning,6,,19092,2:47,
2016-10-13,Carolina Hurricanes,4,Winnipeg Jets,5,OT,15296,2:32,
2016-10-14,Edmonton Oilers,5,Calgary Flames,3,,19289,2:28,
2016-10-14,Philadelphia Flyers,4,Los Angeles Kings,2,,18453,2:31,
2016-10-14,Chicago Blackhawks,2,Nashville Predators,3,,17256,2:35,
2016-10-15,Philadelphia Flyers,3,Arizona Coyotes,4,OT,17125,2:39,
2016-10-15,San Jose Sharks,3,Columbus Blue Jackets,2,,16546,2:24,
2016-10-15,Nashville Predators,3,Chicago Blackhawks,5,,21665,2:29,
2016-10-15,Dallas Stars,5,Colorado Avalanche,6,,18007,2:38,
2016-10-15,Detroit Red Wings,1,Florida Panthers,4,,16868,2:35,
2016-10-15,Winnipeg Jets,3,Minnesota Wild,4,,19024,2:41,
2016-10-15,Montreal Canadiens,3,Ottawa Senators,4,SO,18195,2:44,
2016-10-15,Anaheim Ducks,2,Pittsburgh Penguins,3,,18452,2:38,
2016-10-15,New York Rangers,2,St. Louis Blues,3,,19197,2:24,
2016-10-15,New Jersey Devils,2,Tampa Bay Lightning,3,,19092,2:36,
2016-10-15,Boston Bruins,1,Toronto Maple Leafs,4,,19466,2:23,
2016-10-15,Calgary Flames,1,Vancouver Canucks,2,SO,18865,2:42,
2016-10-15,New York Islanders,1,Washington Capitals,2,,18506,2:25,
2016-10-16,Buffalo Sabres,6,Edmonton Oilers,2,,18347,2:39,
2016-10-16,Anaheim Ducks,2,New York Islanders,3,OT,15795,2:37,
2016-10-16,Carolina Hurricanes,3,Vancouver Canucks,4,OT,17832,2:25,
2016-10-17,Ottawa Senators,1,Detroit Red Wings,5,,20027,2:33,
2016-10-17,San Jose Sharks,4,New York Rangers,7,,18200,2:32,
2016-10-17,Colorado Avalanche,4,Pittsburgh Penguins,3,OT,18431,2:41,
2016-10-17,Boston Bruins,4,Winnipeg Jets,1,,15296,2:36,
2016-10-18,Buffalo Sabres,3,Calgary Flames,4,OT,19289,2:35,
2016-10-18,Philadelphia Flyers,4,Chicago Blackhawks,7,,21263,2:26,
2016-10-18,Carolina Hurricanes,2,Edmonton Oilers,3,,18347,2:30,
2016-10-18,Los Angeles Kings,3,Minnesota Wild,6,,18644,2:40,
2016-10-18,Pittsburgh Penguins,0,Montreal Canadiens,4,,21288,2:47,
2016-10-18,Anaheim Ducks,1,New Jersey Devils,2,,16514,2:37,
2016-10-18,Dallas Stars,2,Nashville Predators,1,,17113,2:29,
2016-10-18,San Jose Sharks,3,New York Islanders,2,,10772,2:34,
2016-10-18,Arizona Coyotes,4,Ottawa Senators,7,,11061,2:43,
2016-10-18,Florida Panthers,3,Tampa Bay Lightning,4,SO,19092,2:50,
2016-10-18,St. Louis Blues,1,Vancouver Canucks,2,OT,17568,2:28,
2016-10-18,Colorado Avalanche,0,Washington Capitals,3,,18506,2:29,
2016-10-19,Detroit Red Wings,2,New York Rangers,1,,18200,2:28,
2016-10-19,Toronto Maple Leafs,4,Winnipeg Jets,5,OT,15294,2:36,
2016-10-20,New Jersey Devils,1,Boston Bruins,2,,17565,2:37,
2016-10-20,Carolina Hurricanes,4,Calgary Flames,2,,17652,2:29,
2016-10-20,Los Angeles Kings,4,Dallas Stars,3,OT,18532,2:45,
2016-10-20,St. Louis Blues,1,Edmonton Oilers,3,,18347,2:30,
2016-10-20,Washington Capitals,4,Florida Panthers,2,,12440,2:27,
2016-10-20,Toronto Maple Leafs,2,Minnesota Wild,3,,18968,2:36,
2016-10-20,Arizona Coyotes,2,Montreal Canadiens,5,,21288,2:33,
2016-10-20,Anaheim Ducks,3,Philadelphia Flyers,2,,19982,2:23,
2016-10-20,San Jose Sharks,2,Pittsburgh Penguins,3,,18511,2:31,
2016-10-20,Colorado Avalanche,4,Tampa Bay Lightning,0,,19092,2:27,
2016-10-20,Buffalo Sabres,1,Vancouver Canucks,2,,17809,2:35,
2016-10-21,Chicago Blackhawks,2,Columbus Blue Jackets,3,,15789,2:27,
2016-10-21,Nashville Predators,3,Detroit Red Wings,5,,20027,2:34,
2016-10-21,Arizona Coyotes,2,New York Islanders,3,,13076,2:38,
2016-10-22,Montreal Canadiens,4,Boston Bruins,2,,17565,2:36,
2016-10-22,St. Louis Blues,6,Calgary Flames,4,,18076,2:33,
2016-10-22,Toronto Maple Leafs,4,Chicago Blackhawks,5,SO,21735,2:51,
2016-10-22,Columbus Blue Jackets,3,Dallas Stars,0,,18532,2:30,
2016-10-22,San Jose Sharks,0,Detroit Red Wings,3,,20027,2:27,
2016-10-22,Colorado Avalanche,2,Florida Panthers,5,,14326,2:32,
2016-10-22,Vancouver Canucks,3,Los Angeles Kings,4,SO,18230,2:51,
