,Date,Home,Home_ELO,Home_ELO_xG,Away,Away_ELO,Away_ELO_xG,Expectation,Expectation_xG,G+/-,xG+/-,Points,Points_xG,Home_ELO_new,Home_ELO_xG_new,Away_ELO_new,Away_ELO_xG_new
0,2014-10-08,Boston Bruins,1500.0,1500.0,Philadelphia Flyers,1500.0,1500.0,55.0199353254,55.0199353254,0.0,0.38,89.9601293493,89.9601293493,1499.59840517,1503.59840517,1500.40159483,1496.40159483
1,2014-10-08,Calgary Flames,1500.0,1500.0,Vancouver Canucks,1500.0,1500.0,55.0199353254,55.0199353254,0.0,0.12,89.9601293493,89.9601293493,1499.59840517,1503.59840517,1500.40159483,1496.40159483
2,2014-10-08,Los Angeles Kings,1500.0,1500.0,San Jose Sharks,1500.0,1500.0,55.0199353254,55.0199353254,-3.0,-0.08,44.9800646746,44.9800646746,1492.90203525,1495.59840517,1507.09796475,1504.40159483
3,2014-10-08,Montreal Canadiens,1500.0,1500.0,,1500.0,1500.0,55.0199353254,55.0199353254,2.0,0.59,55.0199353254,55.0199353254,1506.63835116,1505.39760776,1493.36164884,1494.60239224
4,2014-10-08,Philadelphia Flyers,1500.40159483,1496.40159483,,1493.36164884,1494.60239224,56.0206799383,55.2761159598,0.0,-0.38,87.9586401234,89.4477680804,1499.67911323,1489.76846091,1494.08413043,1501.23552615
5,2014-10-08,San Jose Sharks,1507.09796475,1504.40159483,,1494.08413043,1501.23552615,56.8660925742,55.4705517464,3.0,0.08,56.8660925742,55.4705517464,1514.66007722,1509.74512862,1486.52201796,1495.89199236
6,2014-10-08,Toronto Maple Leafs,1500.0,1500.0,Montreal Canadiens,1506.63835116,1505.39760776,54.0725273696,54.2498477832,-2.0,-0.59,45.9274726304,45.7501522168,1494.0473443,1495.66001218,1512.59100686,1509.73759558
7,2014-10-08,Vancouver Canucks,1500.40159483,1496.40159483,,1486.52201796,1495.89199236,56.9882914383,55.092523037,0.0,-0.12,86.0234171235,89.814953926,1499.56299985,1489.79049206,1487.36061293,1502.50309513
8,2014-10-09,Anaheim Ducks,1500.0,1500.0,,1487.36061293,1502.50309513,56.8132136458,54.6630900655,-3.0,-0.8,43.1867863542,45.3369099345,1488.86154798,1493.25902311,1498.49906495,1509.24407201
9,2014-10-09,Arizona Coyotes,1500.0,1500.0,Winnipeg Jets,1500.0,1500.0,55.0199353254,55.0199353254,-4.0,0.69,44.9800646746,44.9800646746,1492.10183845,1503.59840517,1507.89816155,1496.40159483
10,2014-10-09,Boston Bruins,1499.59840517,1503.59840517,,1498.49906495,1509.24407201,55.1764981229,54.2144049708,0.0,-1.06,89.6470037543,91.5711900583,1498.9772254,1496.39113661,1499.12024473,1516.45134058
11,2014-10-09,Buffalo Sabres,1500.0,1500.0,Columbus Blue Jackets,1500.0,1500.0,55.0199353254,55.0199353254,-1.0,-0.8,44.9800646746,44.9800646746,1495.14125946,1495.44329315,1504.85874054,1504.55670685
12,2014-10-09,Calgary Flames,1499.59840517,1503.59840517,,1499.12024473,1516.45134058,55.0880450644,53.1829088804,4.0,-0.47,55.0880450644,53.1829088804,1508.70380101,1497.21645611,1490.01484889,1522.83328965
13,2014-10-09,Chicago Blackhawks,1500.0,1500.0,,1490.01484889,1522.83328965,56.4379475363,51.7502149955,0.0,-1.89,87.1241049273,96.499570009,1499.2274463,1491.85561521,1490.78740259,1530.97767444
14,2014-10-09,Colorado Avalanche,1500.0,1500.0,,1490.78740259,1530.97767444,56.3285802176,50.5788333193,-4.0,-2.59,43.6714197824,49.4211666807,1487.78355259,1491.08733984,1503.00385001,1539.8903346
15,2014-10-09,Columbus Blue Jackets,1504.85874054,1504.55670685,,1503.00385001,1539.8903346,55.2840407286,49.9519871214,1.0,0.8,55.2840407286,49.9519871214,1510.22465566,1510.5624684,1497.6379349,1533.88457306
16,2014-10-09,Dallas Stars,1500.0,1500.0,Chicago Blackhawks,1499.2274463,1491.85561521,55.1299693172,56.1772564362,0.0,1.89,89.7400613656,87.6454871276,1499.58960245,1504.12302958,1499.63784384,1487.73258563
17,2014-10-09,Detroit Red Wings,1500.0,1500.0,Boston Bruins,1498.9772254,1496.39113661,55.1655972993,55.5335033998,0.0,1.06,89.6688054013,88.9329932003,1499.58675222,1503.55731973,1499.39047318,1492.83381688
18,2014-10-09,Edmonton Oilers,1500.0,1500.0,Calgary Flames,1508.70380101,1497.21645611,53.7771176427,55.4161544626,-4.0,0.47,46.2228823573,44.5838455374,1492.33348232,1503.56670764,1516.37031869,1493.64974847
19,2014-10-09,Florida Panthers,1500.0,1500.0,,1497.6379349,1533.88457306,55.3562026675,50.160522289,1.0,-0.66,55.3562026675,50.160522289,1505.35725568,1493.98073733,1492.28067922,1539.90383573
20,2014-10-09,Minnesota Wild,1500.0,1500.0,Colorado Avalanche,1487.78355259,1491.08733984,56.7534680115,56.2861026582,4.0,2.59,56.7534680115,56.2861026582,1505.78084465,1504.79075301,1482.00270794,1486.29658682
21,2014-10-09,Montreal Canadiens,1512.59100686,1509.73759558,,1492.28067922,1539.90383573,57.8932281267,50.6955890814,0.0,-0.8,84.2135437466,98.6088218371,1511.64381949,1503.65412489,1493.22786659,1545.98730642
22,2014-10-09,Nashville Predators,1500.0,1500.0,Ottawa Senators,1500.0,1500.0,55.0199353254,55.0199353254,1.0,1.33,55.0199353254,55.0199353254,1503.59840517,1503.64117284,1496.40159483,1496.35882716
23,2014-10-09,New Jersey Devils,1500.0,1500.0,,1493.22786659,1545.98730642,55.9826939194,48.4193263983,3.0,-0.66,55.9826939194,48.4193263983,1507.78160835,1494.18968083,1485.44625824,1551.79762559
24,2014-10-09,New York Rangers,1500.0,1500.0,,1485.44625824,1551.79762559,57.0833904167,47.5845091149,1.0,-0.13,57.0833904167,47.5845091149,1505.14999315,1494.28985891,1480.29626509,1557.50776668
25,2014-10-09,Ottawa Senators,1496.40159483,1496.35882716,,1480.29626509,1557.50776668,57.3020606694,46.2439544336,-1.0,-1.33,42.6979393306,53.7560455664,1488.50593031,1490.59386403,1488.19192961,1563.27272981
26,2014-10-09,Philadelphia Flyers,1499.67911323,1489.76846091,New Jersey Devils,1507.78160835,1494.18968083,53.8631473595,54.3893124708,-3.0,0.66,46.1368526405,45.6106875292,1492.78995953,1493.41731591,1514.67076206,1490.54082583
27,2014-10-09,Pittsburgh Penguins,1500.0,1500.0,Anaheim Ducks,1488.86154798,1493.25902311,56.6010988974,55.9782742827,3.0,0.8,56.6010988974,55.9782742827,1505.08519713,1503.52173806,1483.77635085,1489.73728506
28,2014-10-09,St. Louis Blues,1500.0,1500.0,New York Rangers,1505.14999315,1494.28985891,54.2852227997,55.8319944098,-1.0,0.13,45.7147772003,44.1680055902,1495.26964021,1503.53344045,1509.88035294,1490.75641846
29,2014-10-09,Tampa Bay Lightning,1500.0,1500.0,Florida Panthers,1505.35725568,1493.98073733,54.255612904,55.8758707881,-1.0,0.66,45.744387096,44.1241292119,1495.27479406,1503.52993034,1510.08246162,1490.45080699
30,2014-10-09,Washington Capitals,1500.0,1500.0,Montreal Canadiens,1511.64381949,1503.65412489,53.3561704308,54.4988341717,0.0,0.8,93.2876591384,91.0023316567,1499.73150637,1503.64009327,1511.91231312,1500.01403163
31,2014-10-09,Winnipeg Jets,1507.89816155,1496.40159483,,1488.19192961,1563.27272981,57.8084351375,45.4261970802,4.0,-0.69,57.8084351375,45.4261970802,1516.29691111,1490.95045118,1479.79318004,1568.72387346
32,2014-10-10,Carolina Hurricanes,1500.0,1500.0,New York Islanders,1500.0,1500.0,55.0199353254,55.0199353254,-2.0,-0.26,44.9800646746,44.9800646746,1493.88076178,1495.59840517,1506.11923822,1504.40159483
33,2014-10-10,New York Islanders,1506.11923822,1504.40159483,,1479.79318004,1568.72387346,58.7350012169,45.7901753087,2.0,0.26,58.7350012169,45.7901753087,1511.87429975,1510.90677379,1474.03811852,1562.2186945
34,2014-10-11,Anaheim Ducks,1483.77635085,1489.73728506,,1474.03811852,1562.2186945,56.4029989967,44.6268200203,1.0,-0.01,56.4029989967,44.6268200203,1489.00799097,1484.38206665,1468.8064784,1567.5739129
35,2014-10-11,Arizona Coyotes,1492.10183845,1503.59840517,Los Angeles Kings,1492.90203525,1495.59840517,54.9059123623,56.1567938974,-1.0,0.67,45.0940876377,43.8432061026,1487.26308493,1507.10586166,1497.74078878,1492.09094869
36,2014-10-11,Boston Bruins,1499.39047318,1492.83381688,Washington Capitals,1499.73150637,1503.64009327,54.9713466401,53.4761398632,-2.0,0.21,45.0286533599,46.5238601368,1493.27981455,1496.55572569,1505.842165,1499.91818446
37,2014-10-11,Buffalo Sabres,1495.14125946,1495.44329315,,1468.8064784,1567.5739129,58.7362182223,44.6767251171,-3.0,-1.73,41.2637817777,55.3232748829,1483.46743325,1489.32140498,1480.4803046,1573.69580107
38,2014-10-11,Calgary Flames,1516.37031869,1493.64974847,,1480.4803046,1573.69580107,60.0626383985,43.5534335335,-2.0,-1.02,39.9373616015,56.4465664665,1505.82246816,1488.42333644,1491.02815513,1578.92221309
39,2014-10-11,Carolina Hurricanes,1493.88076178,1495.59840517,,1491.02815513,1578.92221309,55.4259765585,43.0901452133,-1.0,-1.05,44.5740234415,56.9098547867,1486.48560373,1490.42758775,1498.42331317,1584.09303052
40,2014-10-11,Chicago Blackhawks,1499.63784384,1487.73258563,Buffalo Sabres,1483.46743325,1489.32140498,57.3112265503,54.7934882154,3.0,1.73,57.3112265503,54.7934882154,1504.6059002,1491.89855623,1478.4993769,1485.15543437
41,2014-10-11,Colorado Avalanche,1482.00270794,1486.29658682,Minnesota Wild,1505.78084465,1504.79075301,51.6143945874,52.3735949849,-2.0,0.15,48.3856054126,47.6264050151,1476.47546129,1490.10669922,1511.30809129,1500.98064061
42,2014-10-11,Columbus Blue Jackets,1510.22465566,1510.5624684,New York Rangers,1509.88035294,1490.75641846,55.0689801238,57.8224491309,2.0,1.28,55.0689801238,57.8224491309,1514.64232111,1513.93667246,1505.46268749,1487.38221439
43,2014-10-11,Dallas Stars,1499.58960245,1504.12302958,,1498.42331317,1584.09303052,55.1860294076,43.5641966145,-1.0,-0.83,44.8139705924,56.4358033855,1492.25775714,1498.89532599,1505.75515849,1589.32073411
44,2014-10-11,Detroit Red Wings,1499.58675222,1503.55731973,Anaheim Ducks,1489.00799097,1484.38206665,56.5219400542,57.733867033,-1.0,0.01,43.4780599458,42.266132967,1494.46252038,1506.93861037,1494.1322228,1481.00077602
45,2014-10-11,Edmonton Oilers,1492.33348232,1503.56670764,,1505.75515849,1589.32073411,53.1013837631,42.7474249526,0.0,-0.57,93.7972324738,85.4948499052,1491.96131627,1498.43701665,1506.12732454,1594.4504251
46,2014-10-11,Florida Panthers,1510.08246162,1490.45080699,New Jersey Devils,1514.67076206,1490.54082583,54.3654519455,55.007110822,-3.0,0.13,45.6345480545,44.992889178,1503.10287984,1494.05023812,1521.65034383,1486.9413947
47,2014-10-11,Los Angeles Kings,1497.74078878,1492.09094869,,1506.12732454,1594.4504251,53.8225120837,40.425850184,1.0,-0.67,53.8225120837,40.425850184,1503.28208733,1487.23984666,1500.58602599,1599.30152713
48,2014-10-11,Minnesota Wild,1511.30809129,1500.98064061,,1500.58602599,1599.30152713,56.5422111868,40.9869635242,2.0,-0.15,56.5422111868,40.9869635242,1517.58095614,1496.06220499,1494.31316114,1604.21996275
49,2014-10-11,Montreal Canadiens,1511.91231312,1500.01403163,,1494.31316114,1604.21996275,57.5123205854,40.170129678,1.0,1.66,57.5123205854,40.170129678,1517.01083465,1509.90672519,1489.21463961,1594.32726919
50,2014-10-11,Nashville Predators,1503.59840517,1503.64117284,Dallas Stars,1492.25775714,1498.89532599,56.629687864,55.695065326,1.0,0.83,56.629687864,55.695065326,1507.06803014,1507.18556761,1488.78813217,1495.35093121
51,2014-10-11,New Jersey Devils,1521.65034383,1486.9413947,,1489.21463961,1594.32726919,59.5847172091,39.7309891543,3.0,-0.13,59.5847172091,39.7309891543,1528.54642789,1482.173676,1482.31855555,1599.09498789
52,2014-10-11,New York Islanders,1511.87429975,1510.90677379,Carolina Hurricanes,1486.48560373,1490.42758775,58.6041596832,57.9169213812,1.0,1.05,58.6041596832,57.9169213812,1515.18596697,1514.27342008,1483.17393651,1487.06094146
53,2014-10-11,New York Rangers,1505.46268749,1487.38221439,,1482.31855555,1599.09498789,58.2903618887,39.1361163754,-2.0,-1.28,41.7096381113,60.8638836246,1495.40369732,1482.68588042,1492.37754572,1603.79132185
54,2014-10-11,Ottawa Senators,1488.50593031,1490.59386403,,1492.37754572,1603.79132185,54.4677864192,38.9327301592,1.0,-0.67,54.4677864192,38.9327301592,1493.96979594,1485.92193642,1486.91368009,1608.46324947
55,2014-10-11,Philadelphia Flyers,1492.78995953,1493.41731591,Montreal Canadiens,1517.01083465,1509.90672519,51.5507432479,52.6613705004,-1.0,-1.66,48.4492567521,47.3386294996,1488.52918561,1488.09687784,1521.27160857,1515.22716326
56,2014-10-11,Pittsburgh Penguins,1505.08519713,1503.52173806,,1486.91368009,1608.46324947,57.5928111258,40.0684051458,2.0,1.2,57.5928111258,40.0684051458,1511.10870664,1512.55757004,1480.89017058,1599.42741749
57,2014-10-11,San Jose Sharks,1514.66007722,1509.74512862,Winnipeg Jets,1516.29691111,1490.95045118,54.7866417869,57.6803991172,3.0,-0.49,54.7866417869,57.6803991172,1520.04755205,1505.13069669,1510.90943629,1495.56488311
58,2014-10-11,St. Louis Blues,1495.26964021,1503.53344045,Calgary Flames,1505.82246816,1488.42333644,53.5124358834,57.1618325924,2.0,1.02,53.5124358834,57.1618325924,1499.93979216,1506.96049384,1501.15231621,1484.99628305
59,2014-10-11,Tampa Bay Lightning,1495.27479406,1503.52993034,Ottawa Senators,1493.96979594,1485.92193642,55.2057756479,57.5135643141,-1.0,0.67,44.7942243521,42.4864356859,1490.38342761,1506.92884519,1498.86116239,1482.52302156
60,2014-10-11,Toronto Maple Leafs,1494.0473443,1495.66001218,Pittsburgh Penguins,1511.10870664,1512.55757004,52.5792859183,52.6027959738,-2.0,-1.2,47.4207140817,47.3972040262,1488.35426561,1490.93679246,1516.80178533,1517.28078975
61,2014-10-11,Vancouver Canucks,1499.56299985,1489.79049206,Edmonton Oilers,1491.96131627,1498.43701665,56.1003327578,53.7853132424,0.0,0.57,87.7993344843,92.4293735151,1499.07497323,1493.487667,1492.44934289,1494.73984171
62,2014-10-11,Washington Capitals,1505.842165,1499.91818446,,1480.89017058,1599.42741749,58.5431611575,40.8216063166,2.0,-0.21,58.5431611575,40.8216063166,1511.64212293,1495.0195917,1475.09021266,1604.32601025
63,2014-10-11,Winnipeg Jets,1510.90943629,1495.56488311,,1475.09021266,1604.32601025,60.0528630553,39.5415776101,-3.0,0.49,39.9471369447,60.4584223899,1498.86389323,1503.12555185,1487.13575572,1596.76534151
64,2014-10-12,Los Angeles Kings,1503.28208733,1487.23984666,Winnipeg Jets,1498.86389323,1503.12555185,55.6485190585,52.7479962593,3.0,0.76,55.6485190585,52.7479962593,1508.52544448,1491.02000696,1493.62053607,1499.34539155
65,2014-10-12,New York Rangers,1495.40369732,1482.68588042,Toronto Maple Leafs,1488.35426561,1490.93679246,56.0220252463,53.8419152515,0.0,0.88,87.9559495074,92.3161694971,1494.9219353,1486.3785272,1488.83602763,1487.24414568
66,2014-10-12,Toronto Maple Leafs,1488.83602763,1487.24414568,,1487.13575572,1596.76534151,55.2620367996,39.4370285909,0.0,-0.88,89.4759264008,78.8740571817,1488.20458321,1482.51170225,1487.76720013,1601.49778494
67,2014-10-12,Winnipeg Jets,1493.62053607,1499.34539155,,1487.76720013,1601.49778494,55.8523204653,40.4545624007,-3.0,-0.76,44.1476795347,59.5454375993,1482.74635874,1494.49084406,1498.64137746,1606.35233243
68,2014-10-13,Anaheim Ducks,1494.1322228,1481.00077602,,1498.64137746,1606.35233243,54.3767548894,37.2827595613,2.0,1.99,54.3767548894,37.2827595613,1500.92649793,1492.28077368,1491.84710234,1595.07233477
69,2014-10-13,Boston Bruins,1493.27981455,1496.55572569,Colorado Avalanche,1476.47546129,1490.10669922,57.4004836395,55.9368557317,-2.0,0.57,42.5995163605,44.0631442683,1486.73531903,1500.08077723,1483.0199568,1486.58164768
70,2014-10-13,Buffalo Sabres,1478.4993769,1485.15543437,Anaheim Ducks,1500.92649793,1492.28077368,51.8085933195,54.002901184,-2.0,-1.99,48.1914066805,45.997098816,1472.93887239,1479.22589933,1506.48700244,1498.21030873
71,2014-10-13,Colorado Avalanche,1483.0199568,1486.58164768,,1491.84710234,1595.07233477,53.7594677638,39.578800334,2.0,-0.57,53.7594677638,39.578800334,1489.96472528,1481.83219164,1484.90233385,1599.82179081
72,2014-10-13,Florida Panthers,1503.10287984,1494.05023812,Ottawa Senators,1498.86116239,1482.52302156,55.623444715,56.6560633118,0.0,0.44,88.7531105701,86.6878733764,1502.65300426,1497.51775306,1499.31103797,1479.05550663
73,2014-10-13,Montreal Canadiens,1521.27160857,1515.22716326,,1484.90233385,1599.82179081,60.128797622,42.9108438303,-3.0,-1.14,39.871202378,57.0891561697,1509.20449621,1510.077862,1496.96944621,1604.97109207
74,2014-10-13,Ottawa Senators,1499.31103797,1479.05550663,,1496.96944621,1604.97109207,55.3532901095,37.2068716714,0.0,-0.44,89.2934197811,74.4137433429,1498.66864316,1474.59068202,1497.61184102,1609.43591667
75,2014-10-13,Tampa Bay Lightning,1490.38342761,1506.92884519,Montreal Canadiens,1509.20449621,1510.077862,52.3266538828,54.5709270966,3.0,1.14,52.3266538828,54.5709270966,1496.18761982,1510.56317102,1503.400304,1506.44353616
76,2014-10-14,Anaheim Ducks,1506.48700244,1498.21030873,,1497.61184102,1609.43591667,56.2807913802,39.2029356426,2.0,-0.12,56.2807913802,39.2029356426,1512.8222789,1493.50595645,1491.27656456,1614.14026894
77,2014-10-14,Buffalo Sabres,1472.93887239,1479.22589933,,1491.27656456,1614.14026894,52.3960621777,36.00485697,0.0,-2.07,95.2078756445,72.0097139399,1472.65134493,1474.567997,1491.56409202,1618.79817128
78,2014-10-14,Calgary Flames,1501.15231621,1484.99628305,,1491.56409202,1618.79817128,56.3817639449,36.1525447212,-1.0,-1.0,43.6182360551,63.8474552788,1493.50339787,1480.65797768,1499.21301036,1623.13647664
79,2014-10-14,Carolina Hurricanes,1483.17393651,1487.06094146,Buffalo Sabres,1472.65134493,1474.567997,56.5139939558,56.7925289897,0.0,2.07,86.9720120885,86.4149420205,1482.65281699,1491.27534049,1473.17246444,1470.35359797
80,2014-10-14,Colorado Avalanche,1489.96472528,1481.83219164,,1499.21301036,1623.13647664,53.6991980848,35.1617547426,0.0,-1.08,92.6016038305,70.3235094852,1489.52082151,1477.61278107,1499.65691413,1627.35588721
81,2014-10-14,Columbus Blue Jackets,1514.64232111,1513.93667246,Dallas Stars,1488.78813217,1495.35093121,58.6691507323,57.6510375487,-2.0,0.37,41.3308492677,42.3489624513,1507.86715406,1517.32458946,1495.56329922,1491.96301422
82,2014-10-14,Dallas Stars,1495.56329922,1491.96301422,,1499.65691413,1627.35588721,54.436091407,35.9414143441,2.0,-0.37,54.436091407,35.9414143441,1502.343152,1487.6500445,1492.87706135,1631.66885693
83,2014-10-14,Edmonton Oilers,1492.44934289,1494.73984171,,1492.87706135,1631.66885693,54.9589946439,35.7380769544,-3.0,0.03,45.0410053561,64.2619230456,1481.81897051,1502.45127247,1503.50743374,1623.95742617
84,2014-10-14,Los Angeles Kings,1508.52544448,1491.02000696,Edmonton Oilers,1481.81897051,1502.45127247,58.7880664181,53.3866203322,3.0,-0.03,58.7880664181,53.3866203322,1513.25196436,1486.74907734,1477.09245063,1506.7222021
85,2014-10-14,Nashville Predators,1507.06803014,1507.18556761,Calgary Flames,1493.50339787,1480.65797768,56.9438470337,58.7631159485,1.0,1.0,56.9438470337,58.7631159485,1510.51252238,1510.48451834,1490.05890563,1477.35902696
86,2014-10-14,New Jersey Devils,1528.54642789,1482.173676,,1503.50743374,1623.95742617,58.5553153855,35.098856798,0.0,0.59,82.8893692289,70.197713596,1527.51979005,1491.2711614,1504.53407158,1614.85994077
87,2014-10-14,New York Islanders,1515.18596697,1514.27342008,,1504.53407158,1614.85994077,56.532285546,40.6718820733,2.0,0.12,56.532285546,40.6718820733,1521.46119881,1521.39279423,1498.25883974,1607.74056662
88,2014-10-14,New York Rangers,1494.9219353,1486.3785272,New York Islanders,1521.46119881,1521.39279423,51.217357228,49.99794681,-2.0,-0.12,48.782642772,50.00205319,1489.46249984,1482.37869146,1526.92063427,1525.39262997
89,2014-10-14,Philadelphia Flyers,1488.52918561,1488.09687784,Anaheim Ducks,1512.8222789,1493.50595645,51.5403601486,54.2482089176,-2.0,0.12,48.4596398514,45.7517910824,1483.01460226,1491.75702113,1518.33686225,1489.84581316
90,2014-10-14,San Jose Sharks,1520.04755205,1505.13069669,,1498.25883974,1607.74056662,58.1005421154,40.3911416892,1.0,-0.78,58.1005421154,40.3911416892,1525.075487,1500.28375968,1493.2309048,1612.58750362
91,2014-10-14,Tampa Bay Lightning,1496.18761982,1510.56317102,New Jersey Devils,1527.51979005,1491.2711614,50.5278235277,57.7502667945,0.0,-0.59,98.9443529446,84.499466411,1496.14539394,1505.85646844,1527.56201593,1495.97786398
